"kön","ålder","år","sysselsatta","sysselsatta i arbete"
"totalt","20-24 år","2001",328.0,283.7
"totalt","20-24 år","2002",323.3,280.2
"totalt","20-24 år","2003",318.1,273.3
"totalt","20-24 år","2004",308.0,266.1
"totalt","20-24 år","2005",308.8,276.7
"totalt","20-24 år","2006",321.6,287.2
"totalt","20-24 år","2007",351.7,316.9
"totalt","20-24 år","2008",363.6,323.9
"totalt","20-24 år","2009",344.6,304.8
"totalt","20-24 år","2010",361.8,321.7
"totalt","20-24 år","2011",388.8,348.1
"totalt","20-24 år","2012",389.5,346.4
"totalt","20-24 år","2013",399.2,357.1
"totalt","20-24 år","2014",404.5,363.3
"totalt","20-24 år","2015",407.4,363.1
"totalt","20-24 år","2016",405.9,361.6
"totalt","20-24 år","2017",397.1,351.2
"totalt","20-24 år","2018",381.9,337.8
"totalt","20-24 år","2019",366.1,325.7
"totalt","20-24 år","2020",338.6,295.5
"totalt","20-24 år","2021",344.8,307.5
"totalt","20-24 år","2022",362.5,322.4
"totalt","20-24 år","2023",373.8,329.9
"totalt","25-34 år","2001",980.7,800.0
"totalt","25-34 år","2002",956.0,769.0
"totalt","25-34 år","2003",929.2,745.1
"totalt","25-34 år","2004",915.2,732.5
"totalt","25-34 år","2005",910.6,735.5
"totalt","25-34 år","2006",927.7,756.3
"totalt","25-34 år","2007",941.8,771.5
"totalt","25-34 år","2008",947.0,770.3
"totalt","25-34 år","2009",915.4,739.7
"totalt","25-34 år","2010",912.1,743.6
"totalt","25-34 år","2011",940.8,768.0
"totalt","25-34 år","2012",946.0,769.8
"totalt","25-34 år","2013",966.1,780.3
"totalt","25-34 år","2014",1001.6,814.4
"totalt","25-34 år","2015",1032.6,832.9
"totalt","25-34 år","2016",1069.2,873.1
"totalt","25-34 år","2017",1113.1,907.0
"totalt","25-34 år","2018",1142.7,933.5
"totalt","25-34 år","2019",1164.0,943.1
"totalt","25-34 år","2020",1146.8,927.0
"totalt","25-34 år","2021",1160.2,955.5
"totalt","25-34 år","2022",1193.2,981.8
"totalt","25-34 år","2023",1184.8,981.3
"totalt","35-44 år","2001",1053.1,877.5
"totalt","35-44 år","2002",1065.6,880.9
"totalt","35-44 år","2003",1071.9,888.0
"totalt","35-44 år","2004",1075.6,900.1
"totalt","35-44 år","2005",1088.0,910.1
"totalt","35-44 år","2006",1104.8,923.9
"totalt","35-44 år","2007",1132.9,944.9
"totalt","35-44 år","2008",1148.2,960.2
"totalt","35-44 år","2009",1124.2,935.3
"totalt","35-44 år","2010",1112.0,936.2
"totalt","35-44 år","2011",1112.4,936.1
"totalt","35-44 år","2012",1107.9,928.1
"totalt","35-44 år","2013",1101.7,917.0
"totalt","35-44 år","2014",1094.0,910.0
"totalt","35-44 år","2015",1100.9,906.6
"totalt","35-44 år","2016",1105.9,923.7
"totalt","35-44 år","2017",1113.6,934.6
"totalt","35-44 år","2018",1124.5,941.3
"totalt","35-44 år","2019",1126.5,934.3
"totalt","35-44 år","2020",1109.3,907.8
"totalt","35-44 år","2021",1116.0,930.8
"totalt","35-44 år","2022",1160.9,972.2
"totalt","35-44 år","2023",1201.0,1010.1
