Year,KPI-tal
1980,100.0
1981,112.10833333333333
1982,121.72500000000001
1983,132.56666666666666
1984,143.20000000000002
1985,153.75
1986,160.25833333333333
1987,167.025
1988,176.70833333333334
1989,188.08333333333334
1990,207.775
1991,227.17499999999998
1992,232.35833333333335
1993,243.15833333333333
1994,248.50833333333333
1995,254.79166666666666
1996,255.99166666666667
1997,257.31666666666666
1998,256.96666666666664
1999,258.1333333333333
2000,260.71666666666664
2001,267.0833333333333
2002,272.84166666666664
2003,278.09999999999997
2004,279.15
2005,280.4083333333333
2006,284.2233333333333
2007,290.5108333333333
2008,300.6116666666667
2009,299.65916666666664
2010,303.46083333333337
2011,311.4291666666667
2012,314.1958333333333
2013,314.0566666666667
2014,313.4925
2015,313.34583333333336
2016,316.43
2017,322.10833333333335
2018,328.4008333333333
2019,334.26
2020,335.9225
2021,343.1891666666667
2022,371.91166666666663
2023,403.705
